date,year,month,day,median_ndvi,landsat
15-02-2015,2015,2,15,0.111365608870983,Landsat7 (ETM+)
"03-03-2015",2015,3,3,0.0878109112381935,Landsat7 (ETM+)
19-03-2015,2015,3,19,0.161427468061447,Landsat7 (ETM+)
"04-04-2015",2015,4,4,0.161208465695381,Landsat7 (ETM+)
20-04-2015,2015,4,20,0.16279873251915,Landsat7 (ETM+)
"06-05-2015",2015,5,6,0.148981831967831,Landsat7 (ETM+)
22-05-2015,2015,5,22,0.130917906761169,Landsat7 (ETM+)
"07-06-2015",2015,6,7,0.141830027103424,Landsat7 (ETM+)
25-07-2015,2015,7,25,nan,Landsat7 (ETM+)
10-08-2015,2015,8,10,0.400473907589912,Landsat7 (ETM+)
26-08-2015,2015,8,26,nan,Landsat7 (ETM+)
11-09-2015,2015,9,11,0.372412368655205,Landsat7 (ETM+)
27-09-2015,2015,9,27,0.347571402788162,Landsat7 (ETM+)
13-10-2015,2015,10,13,0.294823914766312,Landsat7 (ETM+)
29-10-2015,2015,10,29,nan,Landsat7 (ETM+)
14-11-2015,2015,11,14,0.239620357751846,Landsat7 (ETM+)
30-11-2015,2015,11,30,0.209143206477165,Landsat7 (ETM+)
16-12-2015,2015,12,16,0.172785744071007,Landsat7 (ETM+)
"01-01-2016",2016,1,1,0.148443892598152,Landsat7 (ETM+)
"02-02-2016",2016,2,2,0.119598798453808,Landsat7 (ETM+)
18-02-2016,2016,2,18,0.116808548569679,Landsat7 (ETM+)
"05-03-2016",2016,3,5,0.131174668669701,Landsat7 (ETM+)
21-03-2016,2016,3,21,0.147667251527309,Landsat7 (ETM+)
"06-04-2016",2016,4,6,nan,Landsat7 (ETM+)
22-04-2016,2016,4,22,0.139434196054935,Landsat7 (ETM+)
"08-05-2016",2016,5,8,0.120528507977724,Landsat7 (ETM+)
24-05-2016,2016,5,24,0.120380189269781,Landsat7 (ETM+)
25-06-2016,2016,6,25,0.182697251439095,Landsat7 (ETM+)
