date,year,month,day,median_ndvi,landsat
15-02-2015,2015,2,15,0.191925436258316,Landsat7 (ETM+)
"03-03-2015",2015,3,3,0.130078673362732,Landsat7 (ETM+)
19-03-2015,2015,3,19,0.15869215130806,Landsat7 (ETM+)
"04-04-2015",2015,4,4,0.133322447538376,Landsat7 (ETM+)
20-04-2015,2015,4,20,0.126268938183784,Landsat7 (ETM+)
"06-05-2015",2015,5,6,0.125292479991913,Landsat7 (ETM+)
22-05-2015,2015,5,22,0.159701138734818,Landsat7 (ETM+)
"07-06-2015",2015,6,7,0.179627135396004,Landsat7 (ETM+)
25-07-2015,2015,7,25,nan,Landsat7 (ETM+)
10-08-2015,2015,8,10,0.33196148276329,Landsat7 (ETM+)
26-08-2015,2015,8,26,nan,Landsat7 (ETM+)
11-09-2015,2015,9,11,0.378895461559296,Landsat7 (ETM+)
27-09-2015,2015,9,27,0.363632947206497,Landsat7 (ETM+)
13-10-2015,2015,10,13,0.319370150566101,Landsat7 (ETM+)
29-10-2015,2015,10,29,nan,Landsat7 (ETM+)
14-11-2015,2015,11,14,0.27327173948288,Landsat7 (ETM+)
30-11-2015,2015,11,30,0.212057322263718,Landsat7 (ETM+)
16-12-2015,2015,12,16,0.200142338871956,Landsat7 (ETM+)
"01-01-2016",2016,1,1,0.188917100429535,Landsat7 (ETM+)
"02-02-2016",2016,2,2,0.153512582182884,Landsat7 (ETM+)
18-02-2016,2016,2,18,0.135690823197365,Landsat7 (ETM+)
"05-03-2016",2016,3,5,0.121227659285069,Landsat7 (ETM+)
21-03-2016,2016,3,21,0.104813389480114,Landsat7 (ETM+)
"06-04-2016",2016,4,6,0.0898860841989517,Landsat7 (ETM+)
22-04-2016,2016,4,22,0.0984160602092743,Landsat7 (ETM+)
"08-05-2016",2016,5,8,0.0970971658825874,Landsat7 (ETM+)
24-05-2016,2016,5,24,0.109655067324638,Landsat7 (ETM+)
25-06-2016,2016,6,25,0.214129611849785,Landsat7 (ETM+)
