"date","median_ndvi","landsat","year","month","day"
2015-02-15,0.205396048724651,"Landsat7 (ETM+)",2015,2,15
2015-02-20,0.194288196741581,"Landsat7 (ETM+)",2015,2,20
2015-02-25,0.182878550906025,"Landsat7 (ETM+)",2015,2,25
2015-03-02,0.175694019005278,"Landsat7 (ETM+)",2015,3,2
2015-03-07,0.177334433712531,"Landsat7 (ETM+)",2015,3,7
2015-03-12,0.18580453724735,"Landsat7 (ETM+)",2015,3,12
2015-03-17,0.193361555713636,"Landsat7 (ETM+)",2015,3,17
2015-03-22,0.193313625087285,"Landsat7 (ETM+)",2015,3,22
2015-03-27,0.187619991134852,"Landsat7 (ETM+)",2015,3,27
2015-04-01,0.180616458165786,"Landsat7 (ETM+)",2015,4,1
2015-04-06,0.176001921390707,"Landsat7 (ETM+)",2015,4,6
2015-04-11,0.172630694719373,"Landsat7 (ETM+)",2015,4,11
2015-04-16,0.170396099274512,"Landsat7 (ETM+)",2015,4,16
2015-04-21,0.170043815642703,"Landsat7 (ETM+)",2015,4,21
2015-04-26,0.172868102029703,"Landsat7 (ETM+)",2015,4,26
2015-05-01,0.176934382433405,"Landsat7 (ETM+)",2015,5,1
2015-05-06,0.179181098937988,"Landsat7 (ETM+)",2015,5,6
2015-05-11,0.179405378909769,"Landsat7 (ETM+)",2015,5,11
2015-05-16,0.179495966082485,"Landsat7 (ETM+)",2015,5,16
2015-05-21,0.179528727091452,"Landsat7 (ETM+)",2015,5,21
2015-05-26,0.179592462236444,"Landsat7 (ETM+)",2015,5,26
2015-05-31,0.180025249050509,"Landsat7 (ETM+)",2015,5,31
2015-06-05,0.181337031004508,"Landsat7 (ETM+)",2015,6,5
2015-06-10,0.184544423867237,"Landsat7 (ETM+)",2015,6,10
2015-06-15,0.191728738595158,"Landsat7 (ETM+)",2015,6,15
2015-06-20,0.202474043267785,"Landsat7 (ETM+)",2015,6,20
2015-06-25,0.216108583452035,"Landsat7 (ETM+)",2015,6,25
2015-06-30,0.231960604714828,"Landsat7 (ETM+)",2015,6,30
2015-07-05,0.249358352623084,"Landsat7 (ETM+)",2015,7,5
2015-07-10,0.267630072743723,"Landsat7 (ETM+)",2015,7,10
2015-07-15,0.286104010643663,"Landsat7 (ETM+)",2015,7,15
2015-07-20,0.304108411889825,"Landsat7 (ETM+)",2015,7,20
2015-07-25,0.320971522049128,"Landsat7 (ETM+)",2015,7,25
2015-07-30,0.33602158668849,"Landsat7 (ETM+)",2015,7,30
2015-08-04,0.348586851374833,"Landsat7 (ETM+)",2015,8,4
2015-08-09,0.357995561675075,"Landsat7 (ETM+)",2015,8,9
2015-08-14,0.363756981481856,"Landsat7 (ETM+)",2015,8,14
2015-08-19,0.366335564267161,"Landsat7 (ETM+)",2015,8,19
2015-08-24,0.366474150522663,"Landsat7 (ETM+)",2015,8,24
2015-08-29,0.364913685089846,"Landsat7 (ETM+)",2015,8,29
2015-09-03,0.362395112810191,"Landsat7 (ETM+)",2015,9,3
2015-09-08,0.35965937852518,"Landsat7 (ETM+)",2015,9,8
2015-09-13,0.357301004238252,"Landsat7 (ETM+)",2015,9,13
2015-09-18,0.354302948827353,"Landsat7 (ETM+)",2015,9,18
2015-09-23,0.349915398925077,"Landsat7 (ETM+)",2015,9,23
2015-09-28,0.34359533492534,"Landsat7 (ETM+)",2015,9,28
2015-10-03,0.334082281915471,"Landsat7 (ETM+)",2015,10,3
2015-10-08,0.323215376920416,"Landsat7 (ETM+)",2015,10,8
2015-10-13,0.313981622457504,"Landsat7 (ETM+)",2015,10,13
2015-10-18,0.307818293947548,"Landsat7 (ETM+)",2015,10,18
2015-10-23,0.303504902967688,"Landsat7 (ETM+)",2015,10,23
2015-10-28,0.300041806269746,"Landsat7 (ETM+)",2015,10,28
2015-11-02,0.296429360605543,"Landsat7 (ETM+)",2015,11,2
2015-11-07,0.291667922726901,"Landsat7 (ETM+)",2015,11,7
2015-11-12,0.284757849385642,"Landsat7 (ETM+)",2015,11,12
2015-11-17,0.27410104093542,"Landsat7 (ETM+)",2015,11,17
2015-11-22,0.2587522668764,"Landsat7 (ETM+)",2015,11,22
2015-11-27,0.243182639127554,"Landsat7 (ETM+)",2015,11,27
2015-12-02,0.231869641909725,"Landsat7 (ETM+)",2015,12,2
2015-12-07,0.224021356860249,"Landsat7 (ETM+)",2015,12,7
2015-12-12,0.218325571739115,"Landsat7 (ETM+)",2015,12,12
2015-12-17,0.214137915741049,"Landsat7 (ETM+)",2015,12,17
2015-12-22,0.212505722556671,"Landsat7 (ETM+)",2015,12,22
2015-12-27,0.212169610344972,"Landsat7 (ETM+)",2015,12,27
2016-01-01,0.210615620017052,"Landsat7 (ETM+)",2016,1,1
2016-01-06,0.207059045956158,"Landsat7 (ETM+)",2016,1,6
2016-01-11,0.2026082575685,"Landsat7 (ETM+)",2016,1,11
2016-01-16,0.197588908299622,"Landsat7 (ETM+)",2016,1,16
2016-01-21,0.192326651595068,"Landsat7 (ETM+)",2016,1,21
2016-01-26,0.187147140900379,"Landsat7 (ETM+)",2016,1,26
2016-01-31,0.1823760296611,"Landsat7 (ETM+)",2016,1,31
2016-02-05,0.178314794361541,"Landsat7 (ETM+)",2016,2,5
2016-02-10,0.174826278816909,"Landsat7 (ETM+)",2016,2,10
2016-02-15,0.171396349646784,"Landsat7 (ETM+)",2016,2,15
2016-02-20,0.16749575742142,"Landsat7 (ETM+)",2016,2,20
2016-02-25,0.16297587707686,"Landsat7 (ETM+)",2016,2,25
2016-03-01,0.158473520830739,"Landsat7 (ETM+)",2016,3,1
2016-03-06,0.154733933474745,"Landsat7 (ETM+)",2016,3,6
2016-03-11,0.152667832509906,"Landsat7 (ETM+)",2016,3,11
2016-03-16,0.150859831862363,"Landsat7 (ETM+)",2016,3,16
2016-03-21,0.147162087261677,"Landsat7 (ETM+)",2016,3,21
2016-03-26,0.138821073757754,"Landsat7 (ETM+)",2016,3,26
2016-03-31,0.128350020160724,"Landsat7 (ETM+)",2016,3,31
2016-04-05,0.121501212840485,"Landsat7 (ETM+)",2016,4,5
2016-04-10,0.123093379836064,"Landsat7 (ETM+)",2016,4,10
2016-04-15,0.130639275691465,"Landsat7 (ETM+)",2016,4,15
2016-04-20,0.138218072745076,"Landsat7 (ETM+)",2016,4,20
2016-04-25,0.140920268907246,"Landsat7 (ETM+)",2016,4,25
2016-04-30,0.140463038613675,"Landsat7 (ETM+)",2016,4,30
2016-05-05,0.13916451023363,"Landsat7 (ETM+)",2016,5,5
2016-05-10,0.138875227031164,"Landsat7 (ETM+)",2016,5,10
2016-05-15,0.139097240080077,"Landsat7 (ETM+)",2016,5,15
2016-05-20,0.139940725282523,"Landsat7 (ETM+)",2016,5,20
2016-05-25,0.142015281616525,"Landsat7 (ETM+)",2016,5,25
2016-05-30,0.148359195039247,"Landsat7 (ETM+)",2016,5,30
2016-06-04,0.159176377918474,"Landsat7 (ETM+)",2016,6,4
2016-06-09,0.173008155431432,"Landsat7 (ETM+)",2016,6,9
2016-06-14,0.188395852755349,"Landsat7 (ETM+)",2016,6,14
2016-06-19,0.203880795067451,"Landsat7 (ETM+)",2016,6,19
2016-06-24,0.218004307544964,"Landsat7 (ETM+)",2016,6,24
