date,year,month,day,median_ndvi,landsat
15-02-2015,2015,2,15,0.205396048724651,Landsat7 (ETM+)
"03-03-2015",2015,3,3,0.175162494182587,Landsat7 (ETM+)
19-03-2015,2015,3,19,0.194374844431877,Landsat7 (ETM+)
"04-04-2015",2015,4,4,0.177511796355247,Landsat7 (ETM+)
20-04-2015,2015,4,20,0.1698974147439,Landsat7 (ETM+)
"06-05-2015",2015,5,6,0.179181098937988,Landsat7 (ETM+)
22-05-2015,2015,5,22,0.179535016417503,Landsat7 (ETM+)
"07-06-2015",2015,6,7,0.182222560048103,Landsat7 (ETM+)
25-07-2015,2015,7,25,nan,Landsat7 (ETM+)
10-08-2015,2015,8,10,0.35943940281868,Landsat7 (ETM+)
11-09-2015,2015,9,11,0.358221933245659,Landsat7 (ETM+)
27-09-2015,2015,9,27,0.345072627067566,Landsat7 (ETM+)
13-10-2015,2015,10,13,0.313981622457504,Landsat7 (ETM+)
14-11-2015,2015,11,14,0.281168282032013,Landsat7 (ETM+)
30-11-2015,2015,11,30,0.235770866274834,Landsat7 (ETM+)
16-12-2015,2015,12,16,0.214841112494469,Landsat7 (ETM+)
"01-01-2016",2016,1,1,0.210615620017052,Landsat7 (ETM+)
"02-02-2016",2016,2,2,0.180654883384705,Landsat7 (ETM+)
18-02-2016,2016,2,18,0.169147655367851,Landsat7 (ETM+)
"05-03-2016",2016,3,5,0.155367136001587,Landsat7 (ETM+)
21-03-2016,2016,3,21,0.147162087261677,Landsat7 (ETM+)
"06-04-2016",2016,4,6,0.121072322130203,Landsat7 (ETM+)
22-04-2016,2016,4,22,0.13992814719677,Landsat7 (ETM+)
"08-05-2016",2016,5,8,0.138844206929207,Landsat7 (ETM+)
24-05-2016,2016,5,24,0.141411654651165,Landsat7 (ETM+)
25-06-2016,2016,6,25,0.220537275075912,Landsat7 (ETM+)
