"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2015-02-15,0.232884004712105,"Landsat7 (ETM+)",2015,2,15,0.232884004712105,0.230136408691826
2015-02-20,0.22552366941818,"Landsat7 (ETM+)",2015,2,20,0.22552366941818,0.224696155091034
2015-02-25,0.217949000420049,"Landsat7 (ETM+)",2015,2,25,0.217949000420049,0.220818242631675
2015-03-02,0.213375003280816,"Landsat7 (ETM+)",2015,3,2,0.213375003280816,0.218502671313748
2015-03-07,0.215089260833337,"Landsat7 (ETM+)",2015,3,7,0.215089260833337,0.217749441137255
2015-03-12,0.221673768570326,"Landsat7 (ETM+)",2015,3,12,0.221673768570326,0.220945118449008
2015-03-17,0.227550260693533,"Landsat7 (ETM+)",2015,3,17,0.227550260693533,0.224300982062149
2015-03-22,0.227998781279893,"Landsat7 (ETM+)",2015,3,22,0.227998781279893,0.225998389324925
2015-03-27,0.224571455270052,"Landsat7 (ETM+)",2015,3,27,0.224571455270052,0.224737912804729
2015-04-01,0.219801479339366,"Landsat7 (ETM+)",2015,4,1,0.219801479339366,0.220654181756102
2015-04-06,0.215645994874648,"Landsat7 (ETM+)",2015,4,6,0.215645994874648,0.21524976702362
2015-04-11,0.210848857284872,"Landsat7 (ETM+)",2015,4,11,0.210848857284872,0.210529811807252
2015-04-16,0.206646110862493,"Landsat7 (ETM+)",2015,4,16,0.206646110862493,0.207690357332403
2015-04-21,0.205122455667151,"Landsat7 (ETM+)",2015,4,21,0.205122455667151,0.207088108407726
2015-04-26,0.207531553081935,"Landsat7 (ETM+)",2015,4,26,0.207531553081935,0.208270460988794
2015-05-01,0.211665282735339,"Landsat7 (ETM+)",2015,5,1,0.211665282735339,0.210593805065245
2015-05-06,0.214597970247269,"Landsat7 (ETM+)",2015,5,6,0.214597970247269,0.212971301360574
2015-05-11,0.215052457216418,"Landsat7 (ETM+)",2015,5,11,0.215052457216418,0.214499744232461
2015-05-16,0.214428318623259,"Landsat7 (ETM+)",2015,5,16,0.214428318623259,0.214814713670549
2015-05-21,0.213814980160372,"Landsat7 (ETM+)",2015,5,21,0.213814980160372,0.214275297044052
2015-05-26,0.213793255126983,"Landsat7 (ETM+)",2015,5,26,0.213793255126983,0.213289502252375
2015-05-31,0.213846650282197,"Landsat7 (ETM+)",2015,5,31,0.213846650282197,0.212738730271029
2015-06-05,0.21400837125442,"Landsat7 (ETM+)",2015,6,5,0.21400837125442,0.213572710011704
2015-06-10,0.215430391944121,"Landsat7 (ETM+)",2015,6,10,0.215430391944121,0.216859010825667
2015-06-15,0.222232785446495,"Landsat7 (ETM+)",2015,6,15,0.222232785446495,0.223602809438822
2015-06-20,0.233967469816416,"Landsat7 (ETM+)",2015,6,20,0.233967469816416,0.234538315986074
2015-06-25,0.249673017260981,"Landsat7 (ETM+)",2015,6,25,0.249673017260981,0.249719685065325
2015-06-30,0.268387999987288,"Landsat7 (ETM+)",2015,6,30,0.268387999987288,0.268387999987288
2015-07-05,0.289150990202433,"Landsat7 (ETM+)",2015,7,5,0.289150990202433,0.289150990202433
2015-07-10,0.311000560113515,"Landsat7 (ETM+)",2015,7,10,0.311000560113515,0.311000560113515
2015-07-15,0.332975281927629,"Landsat7 (ETM+)",2015,7,15,0.332975281927629,0.332975281927629
2015-07-20,0.354113727851873,"Landsat7 (ETM+)",2015,7,20,0.354113727851873,0.354113727851873
