"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2015-02-15,0.191925436258316,"Landsat7 (ETM+)",2015,2,15,0.191925436258316,0.185677614276816
2015-02-20,0.16956163263967,"Landsat7 (ETM+)",2015,2,20,0.16956163263967,0.167276034743857
2015-02-25,0.146645703527611,"Landsat7 (ETM+)",2015,2,25,0.146645703527611,0.153284685053058
2015-03-02,0.131459531323344,"Landsat7 (ETM+)",2015,3,2,0.131459531323344,0.143703565204418
2015-03-07,0.132136787986383,"Landsat7 (ETM+)",2015,3,7,0.132136787986383,0.138532675197937
2015-03-12,0.145040392624651,"Landsat7 (ETM+)",2015,3,12,0.145040392624651,0.143294833265055
2015-03-17,0.157080265606055,"Landsat7 (ETM+)",2015,3,17,0.157080265606055,0.14909177328743
2015-03-22,0.157014735950725,"Landsat7 (ETM+)",2015,3,22,0.157014735950725,0.151548089645524
2015-03-27,0.148236486129463,"Landsat7 (ETM+)",2015,3,27,0.148236486129463,0.148497631833876
2015-04-01,0.137716684193947,"Landsat7 (ETM+)",2015,4,1,0.137716684193947,0.141390122601498
2015-04-06,0.131522758005303,"Landsat7 (ETM+)",2015,4,6,0.131522758005303,0.133963210332565
2015-04-11,0.128641656605396,"Landsat7 (ETM+)",2015,4,11,0.128641656605396,0.128908444380853
2015-04-16,0.127175737055949,"Landsat7 (ETM+)",2015,4,16,0.127175737055949,0.126048374134209
2015-04-21,0.125976206267296,"Landsat7 (ETM+)",2015,4,21,0.125976206267296,0.12418775229365
2015-04-26,0.123902659819578,"Landsat7 (ETM+)",2015,4,26,0.123902659819578,0.123077286426423
2015-05-01,0.122780339874225,"Landsat7 (ETM+)",2015,5,1,0.122780339874225,0.124017903504226
2015-05-06,0.125292479991913,"Landsat7 (ETM+)",2015,5,6,0.125292479991913,0.128244933026485
2015-05-11,0.133918078467105,"Landsat7 (ETM+)",2015,5,11,0.133918078467105,0.135658705993019
2015-05-16,0.146303623536369,"Landsat7 (ETM+)",2015,5,16,0.146303623536369,0.145111150398462
2015-05-21,0.157883583673538,"Landsat7 (ETM+)",2015,5,21,0.157883583673538,0.154822383321191
2015-05-26,0.165275381557877,"Landsat7 (ETM+)",2015,5,26,0.165275381557877,0.163613238315236
2015-05-31,0.170432400082519,"Landsat7 (ETM+)",2015,5,31,0.170432400082519,0.17107421009014
2015-06-05,0.176366519324802,"Landsat7 (ETM+)",2015,6,5,0.176366519324802,0.178034485327453
2015-06-10,0.185282603863982,"Landsat7 (ETM+)",2015,6,10,0.185282603863982,0.185859545079994
2015-06-15,0.195593125157757,"Landsat7 (ETM+)",2015,6,15,0.195593125157757,0.195462315410497
2015-06-20,0.206847041408707,"Landsat7 (ETM+)",2015,6,20,0.206847041408707,0.206663874010219
2015-06-25,0.218856817210963,"Landsat7 (ETM+)",2015,6,25,0.218856817210963,0.218832862084458
2015-06-30,0.231434917158651,"Landsat7 (ETM+)",2015,6,30,0.231434917158651,0.231434917158651
2015-07-05,0.244393805845902,"Landsat7 (ETM+)",2015,7,5,0.244393805845902,0.244393805845902
2015-07-10,0.257545947866845,"Landsat7 (ETM+)",2015,7,10,0.257545947866845,0.257545947866845
2015-07-15,0.270703807815607,"Landsat7 (ETM+)",2015,7,15,0.270703807815607,0.270703807815607
2015-07-20,0.283679850286319,"Landsat7 (ETM+)",2015,7,20,0.283679850286319,0.283679850286319
2015-07-25,0.296286539873108,"Landsat7 (ETM+)",2015,7,25,0.296286539873108,0.29624221916079
2015-07-30,0.308336341170104,"Landsat7 (ETM+)",2015,7,30,0.308336341170104,0.308159401725461
2015-08-04,0.319641718771436,"Landsat7 (ETM+)",2015,8,4,0.319641718771436,0.319405322007299
2015-08-09,0.330015137271232,"Landsat7 (ETM+)",2015,8,9,0.330015137271232,0.330055992837055
2015-08-14,0.339756589099124,"Landsat7 (ETM+)",2015,8,14,0.339756589099124,0.3401925414155
2015-08-19,0.349487307790809,"Landsat7 (ETM+)",2015,8,19,0.349487307790809,0.349820008265841
2015-08-24,0.358688292310944,"Landsat7 (ETM+)",2015,8,24,0.358688292310944,0.358812621162635
2015-08-29,0.366807642032995,"Landsat7 (ETM+)",2015,8,29,0.366807642032995,0.366891751032094
2015-09-03,0.37329345633043,"Landsat7 (ETM+)",2015,9,3,0.37329345633043,0.373348198376046
2015-09-08,0.377593834576715,"Landsat7 (ETM+)",2015,9,8,0.377593834576715,0.377338794563305
2015-09-13,0.379039158651722,"Landsat7 (ETM+)",2015,9,13,0.379039158651722,0.378523455044778
2015-09-18,0.376459902681745,"Landsat7 (ETM+)",2015,9,18,0.376459902681745,0.376292752751788
2015-09-23,0.370395380887203,"Landsat7 (ETM+)",2015,9,23,0.370395380887203,0.370000534786113
2015-09-28,0.361624195713375,"Landsat7 (ETM+)",2015,9,28,0.361624195713375,0.359830634213587
2015-10-03,0.348226204689126,"Landsat7 (ETM+)",2015,10,3,0.348226204689126,0.34719250082547
2015-10-08,0.33260911716934,"Landsat7 (ETM+)",2015,10,8,0.33260911716934,0.333958496675014
2015-10-13,0.319370150566101,"Landsat7 (ETM+)",2015,10,13,0.319370150566101,0.321749585050773
2015-10-18,0.310593725809667,"Landsat7 (ETM+)",2015,10,18,0.310593725809667,0.311762911136918
2015-10-23,0.304393403595896,"Landsat7 (ETM+)",2015,10,23,0.304393403595896,0.304594582900653
2015-10-28,0.299410110985264,"Landsat7 (ETM+)",2015,10,28,0.299410110985264,0.29945433365025
2015-11-02,0.29428477503825,"Landsat7 (ETM+)",2015,11,2,0.29428477503825,0.294515413218919
2015-11-07,0.287658322815333,"Landsat7 (ETM+)",2015,11,7,0.287658322815333,0.287104338756912
2015-11-12,0.278171681376989,"Landsat7 (ETM+)",2015,11,12,0.278171681376989,0.275357428371634
2015-11-17,0.263451962104228,"Landsat7 (ETM+)",2015,11,17,0.263451962104228,0.259506417541252
2015-11-22,0.241968641988934,"Landsat7 (ETM+)",2015,11,22,0.241968641988934,0.241823760238475
2015-11-27,0.22102898506455,"Landsat7 (ETM+)",2015,11,27,0.22102898506455,0.22532204528364
2015-12-02,0.208204179347377,"Landsat7 (ETM+)",2015,12,2,0.208204179347377,0.212267461367943
2015-12-07,0.203395181519227,"Landsat7 (ETM+)",2015,12,7,0.203395181519227,0.203878070288585
2015-12-12,0.201917131547816,"Landsat7 (ETM+)",2015,12,12,0.201917131547816,0.199924123081068
2015-12-17,0.199433676837543,"Landsat7 (ETM+)",2015,12,17,0.199433676837543,0.198137177190617
2015-12-22,0.196166990725033,"Landsat7 (ETM+)",2015,12,22,0.196166990725033,0.196099210964455
2015-12-27,0.192880177585721,"Landsat7 (ETM+)",2015,12,27,0.192880177585721,0.192876877856943
2016-01-01,0.188917100429535,"Landsat7 (ETM+)",2016,1,1,0.188917100429535,0.188699088132125
2016-01-06,0.18410808765384,"Landsat7 (ETM+)",2016,1,6,0.18410808765384,0.184011064162275
2016-01-11,0.178817900385184,"Landsat7 (ETM+)",2016,1,11,0.178817900385184,0.178835754689454
2016-01-16,0.173192050727266,"Landsat7 (ETM+)",2016,1,16,0.173192050727266,0.173222149757996
2016-01-21,0.167376050783787,"Landsat7 (ETM+)",2016,1,21,0.167376050783787,0.167434866309122
2016-01-26,0.161515412658445,"Landsat7 (ETM+)",2016,1,26,0.161515412658445,0.161608298917339
2016-01-31,0.155755648454942,"Landsat7 (ETM+)",2016,1,31,0.155755648454942,0.155767660346344
2016-02-05,0.150130429961791,"Landsat7 (ETM+)",2016,2,5,0.150130429961791,0.14997386796563
2016-02-10,0.144399259239435,"Landsat7 (ETM+)",2016,2,10,0.144399259239435,0.144355206549071
2016-02-15,0.13882624746293,"Landsat7 (ETM+)",2016,2,15,0.13882624746293,0.139036306640552
2016-02-20,0.133735551324208,"Landsat7 (ETM+)",2016,2,20,0.133735551324208,0.134046922491283
2016-02-25,0.129235761531163,"Landsat7 (ETM+)",2016,2,25,0.129235761531163,0.129300819703818
2016-03-01,0.124901920324192,"Landsat7 (ETM+)",2016,3,1,0.124901920324192,0.124661468286741
2016-03-06,0.120252633432756,"Landsat7 (ETM+)",2016,3,6,0.120252633432756,0.120017294134473
2016-03-11,0.115149866251159,"Landsat7 (ETM+)",2016,3,11,0.115149866251159,0.115166953236152
2016-03-16,0.109898530017745,"Landsat7 (ETM+)",2016,3,16,0.109898530017745,0.10985087888945
2016-03-21,0.104813389480114,"Landsat7 (ETM+)",2016,3,21,0.104813389480114,0.104085055919585
2016-03-26,0.0992513451183185,"Landsat7 (ETM+)",2016,3,26,0.0992513451183185,0.0985166927498245
2016-03-31,0.0937004159641219,"Landsat7 (ETM+)",2016,3,31,0.0937004159641219,0.0942221320889484
2016-04-05,0.0901720445926912,"Landsat7 (ETM+)",2016,4,5,0.0901720445926912,0.0920769976524492
2016-04-10,0.0906000710092485,"Landsat7 (ETM+)",2016,4,10,0.0906000710092485,0.0921225292321655
2016-04-15,0.0941030981011863,"Landsat7 (ETM+)",2016,4,15,0.0941030981011863,0.0936924017139862
2016-04-20,0.0976607445336413,"Landsat7 (ETM+)",2016,4,20,0.0976607445336413,0.0956626579521414
2016-04-25,0.0985801191045539,"Landsat7 (ETM+)",2016,4,25,0.0985801191045539,0.0971742773583284
2016-04-30,0.0975048677064479,"Landsat7 (ETM+)",2016,4,30,0.0975048677064479,0.0976216263329247
2016-05-05,0.0966262923548129,"Landsat7 (ETM+)",2016,5,5,0.0966262923548129,0.0972313923492824
2016-05-10,0.0977316315038478,"Landsat7 (ETM+)",2016,5,10,0.0977316315038478,0.0972937468445825
2016-05-15,0.0994947211847828,"Landsat7 (ETM+)",2016,5,15,0.0994947211847828,0.0993948158788341
2016-05-20,0.103400398802478,"Landsat7 (ETM+)",2016,5,20,0.103400398802478,0.1044760971446
2016-05-25,0.111756204355742,"Landsat7 (ETM+)",2016,5,25,0.111756204355742,0.112890784206434
2016-05-30,0.124332559802496,"Landsat7 (ETM+)",2016,5,30,0.124332559802496,0.124666135637712
2016-06-04,0.139694027336872,"Landsat7 (ETM+)",2016,6,4,0.139694027336872,0.139643878502779
2016-06-09,0.156932418234646,"Landsat7 (ETM+)",2016,6,9,0.156932418234646,0.155192320224535
2016-06-14,0.175139543771593,"Landsat7 (ETM+)",2016,6,14,0.175139543771593,0.172680409481398
