"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2015-02-15,0.205396048724651,"Landsat7 (ETM+)",2015,2,15,0.205396048724651,0.201531886683215
2015-02-20,0.194288196741581,"Landsat7 (ETM+)",2015,2,20,0.194288196741581,0.193122265442396
2015-02-25,0.182878550906025,"Landsat7 (ETM+)",2015,2,25,0.182878550906025,0.186910862568169
2015-03-02,0.175694019005278,"Landsat7 (ETM+)",2015,3,2,0.175694019005278,0.182897678060534
2015-03-07,0.177334433712531,"Landsat7 (ETM+)",2015,3,7,0.177334433712531,0.181082711919492
2015-03-12,0.18580453724735,"Landsat7 (ETM+)",2015,3,12,0.18580453724735,0.18478498303781
2015-03-17,0.193361555713636,"Landsat7 (ETM+)",2015,3,17,0.193361555713636,0.18859650166401
2015-03-22,0.193313625087285,"Landsat7 (ETM+)",2015,3,22,0.193313625087285,0.190046823438563
2015-03-27,0.187619991134852,"Landsat7 (ETM+)",2015,3,27,0.187619991134852,0.187804033049774
2015-04-01,0.180616458165786,"Landsat7 (ETM+)",2015,4,1,0.180616458165786,0.182612876795516
2015-04-06,0.176001921390707,"Landsat7 (ETM+)",2015,4,6,0.176001921390707,0.176702461045131
2015-04-11,0.172630694719373,"Landsat7 (ETM+)",2015,4,11,0.172630694719373,0.172459220473009
2015-04-16,0.170396099274512,"Landsat7 (ETM+)",2015,4,16,0.170396099274512,0.170851139424257
2015-04-21,0.170043815642703,"Landsat7 (ETM+)",2015,4,21,0.170043815642703,0.17148915025247
2015-04-26,0.172868102029703,"Landsat7 (ETM+)",2015,4,26,0.172868102029703,0.173301302337752
2015-05-01,0.176934382433405,"Landsat7 (ETM+)",2015,5,1,0.176934382433405,0.175677251343477
2015-05-06,0.179181098937988,"Landsat7 (ETM+)",2015,5,6,0.179181098937988,0.177924183605178
2015-05-11,0.179405378909769,"Landsat7 (ETM+)",2015,5,11,0.179405378909769,0.179387609001818
2015-05-16,0.179495966082485,"Landsat7 (ETM+)",2015,5,16,0.179495966082485,0.179757574267497
2015-05-21,0.179528727091452,"Landsat7 (ETM+)",2015,5,21,0.179528727091452,0.179467374047403
