"date","median_ndvi","landsat","year","month","day"
2015-02-23,0.137648329138756,"Landsat8/9 (OLI)",2015,2,23
2015-02-28,0.148455421160179,"Landsat8/9 (OLI)",2015,2,28
2015-03-05,0.159294125944144,"Landsat8/9 (OLI)",2015,3,5
2015-03-10,0.169690252052533,"Landsat8/9 (OLI)",2015,3,10
2015-03-15,0.180193136038725,"Landsat8/9 (OLI)",2015,3,15
2015-03-20,0.190963444260888,"Landsat8/9 (OLI)",2015,3,20
2015-03-25,0.198875534370018,"Landsat8/9 (OLI)",2015,3,25
2015-03-30,0.201494833238485,"Landsat8/9 (OLI)",2015,3,30
2015-04-04,0.20054319058545,"Landsat8/9 (OLI)",2015,4,4
2015-04-09,0.197150255150973,"Landsat8/9 (OLI)",2015,4,9
2015-04-14,0.192211422308901,"Landsat8/9 (OLI)",2015,4,14
2015-04-19,0.186622087433079,"Landsat8/9 (OLI)",2015,4,19
2015-04-24,0.181277645897353,"Landsat8/9 (OLI)",2015,4,24
2015-04-29,0.176985130005278,"Landsat8/9 (OLI)",2015,4,29
2015-05-04,0.171793375737252,"Landsat8/9 (OLI)",2015,5,4
2015-05-09,0.165442373178621,"Landsat8/9 (OLI)",2015,5,9
2015-05-14,0.159116775728762,"Landsat8/9 (OLI)",2015,5,14
2015-05-19,0.154001236787053,"Landsat8/9 (OLI)",2015,5,19
2015-05-24,0.151280409752871,"Landsat8/9 (OLI)",2015,5,24
2015-05-29,0.152138948025595,"Landsat8/9 (OLI)",2015,5,29
2015-06-03,0.157952358131297,"Landsat8/9 (OLI)",2015,6,3
2015-06-08,0.169007235826939,"Landsat8/9 (OLI)",2015,6,8
2015-06-13,0.184124087027158,"Landsat8/9 (OLI)",2015,6,13
2015-06-18,0.202431441753106,"Landsat8/9 (OLI)",2015,6,18
2015-06-23,0.224223121121112,"Landsat8/9 (OLI)",2015,6,23
2015-06-28,0.248715413189934,"Landsat8/9 (OLI)",2015,6,28
2015-07-03,0.274982834416733,"Landsat8/9 (OLI)",2015,7,3
2015-07-08,0.30209990125867,"Landsat8/9 (OLI)",2015,7,8
2015-07-13,0.329141130172906,"Landsat8/9 (OLI)",2015,7,13
2015-07-18,0.355181037616603,"Landsat8/9 (OLI)",2015,7,18
2015-07-23,0.379294140046922,"Landsat8/9 (OLI)",2015,7,23
2015-07-28,0.400554953921023,"Landsat8/9 (OLI)",2015,7,28
2015-08-02,0.418037995696068,"Landsat8/9 (OLI)",2015,8,2
