"date","median_ndvi","landsat","year","month","day"
2015-02-07,0.274343758821487,"Landsat8/9 (OLI)",2015,2,7
2015-02-12,0.259541181919303,"Landsat8/9 (OLI)",2015,2,12
2015-02-17,0.244410888109996,"Landsat8/9 (OLI)",2015,2,17
2015-02-22,0.233868631000405,"Landsat8/9 (OLI)",2015,2,22
2015-02-27,0.232335629174486,"Landsat8/9 (OLI)",2015,2,27
2015-03-04,0.237672132374428,"Landsat8/9 (OLI)",2015,3,4
2015-03-09,0.243660599575378,"Landsat8/9 (OLI)",2015,3,9
2015-03-14,0.245248748565245,"Landsat8/9 (OLI)",2015,3,14
2015-03-19,0.244414720218628,"Landsat8/9 (OLI)",2015,3,19
2015-03-24,0.242893224835825,"Landsat8/9 (OLI)",2015,3,24
2015-03-29,0.241846929156963,"Landsat8/9 (OLI)",2015,3,29
2015-04-03,0.24021641175409,"Landsat8/9 (OLI)",2015,4,3
2015-04-08,0.238147833806579,"Landsat8/9 (OLI)",2015,4,8
2015-04-13,0.236279562199115,"Landsat8/9 (OLI)",2015,4,13
2015-04-18,0.235249963816386,"Landsat8/9 (OLI)",2015,4,18
2015-04-23,0.235697405543078,"Landsat8/9 (OLI)",2015,4,23
2015-04-28,0.238260254263878,"Landsat8/9 (OLI)",2015,4,28
2015-05-03,0.242898236106831,"Landsat8/9 (OLI)",2015,5,3
2015-05-08,0.248987050057352,"Landsat8/9 (OLI)",2015,5,8
2015-05-13,0.256289022286183,"Landsat8/9 (OLI)",2015,5,13
2015-05-18,0.264566478964062,"Landsat8/9 (OLI)",2015,5,18
2015-05-23,0.273581746261732,"Landsat8/9 (OLI)",2015,5,23
2015-05-28,0.283097150349932,"Landsat8/9 (OLI)",2015,5,28
2015-06-02,0.292875017399402,"Landsat8/9 (OLI)",2015,6,2
2015-06-07,0.302677673580884,"Landsat8/9 (OLI)",2015,6,7
2015-06-12,0.312267445065118,"Landsat8/9 (OLI)",2015,6,12
2015-06-17,0.321561999227184,"Landsat8/9 (OLI)",2015,6,17
2015-06-22,0.331715759737091,"Landsat8/9 (OLI)",2015,6,22
2015-06-27,0.342711631325074,"Landsat8/9 (OLI)",2015,6,27
2015-07-02,0.354174770853071,"Landsat8/9 (OLI)",2015,7,2
2015-07-07,0.365730335183024,"Landsat8/9 (OLI)",2015,7,7
2015-07-12,0.377003481176871,"Landsat8/9 (OLI)",2015,7,12
2015-07-17,0.387619365696554,"Landsat8/9 (OLI)",2015,7,17
2015-07-22,0.397203145604012,"Landsat8/9 (OLI)",2015,7,22
2015-07-27,0.405379977761186,"Landsat8/9 (OLI)",2015,7,27
2015-08-01,0.411775019030015,"Landsat8/9 (OLI)",2015,8,1
2015-08-06,0.416021681089963,"Landsat8/9 (OLI)",2015,8,6
2015-08-11,0.418183726714687,"Landsat8/9 (OLI)",2015,8,11
2015-08-16,0.418662328349455,"Landsat8/9 (OLI)",2015,8,16
2015-08-21,0.417863347209125,"Landsat8/9 (OLI)",2015,8,21
