"date","median_ndvi","landsat","year","month","day"
2015-02-07,0.218084059655666,"Landsat8/9 (OLI)",2015,2,7
2015-02-12,0.210531087658637,"Landsat8/9 (OLI)",2015,2,12
2015-02-17,0.202914188506838,"Landsat8/9 (OLI)",2015,2,17
2015-02-22,0.196192269521816,"Landsat8/9 (OLI)",2015,2,22
2015-02-27,0.191263591113966,"Landsat8/9 (OLI)",2015,2,27
2015-03-04,0.187709076885767,"Landsat8/9 (OLI)",2015,3,4
2015-03-09,0.184179127427342,"Landsat8/9 (OLI)",2015,3,9
2015-03-14,0.179252862271369,"Landsat8/9 (OLI)",2015,3,14
2015-03-19,0.172916675684974,"Landsat8/9 (OLI)",2015,3,19
2015-03-24,0.167416165754275,"Landsat8/9 (OLI)",2015,3,24
2015-03-29,0.164773693886672,"Landsat8/9 (OLI)",2015,3,29
2015-04-03,0.16343210992621,"Landsat8/9 (OLI)",2015,4,3
2015-04-08,0.16296859117574,"Landsat8/9 (OLI)",2015,4,8
2015-04-13,0.163617967461959,"Landsat8/9 (OLI)",2015,4,13
2015-04-18,0.165615068611563,"Landsat8/9 (OLI)",2015,4,18
2015-04-23,0.169194724451245,"Landsat8/9 (OLI)",2015,4,23
2015-04-28,0.174591764807701,"Landsat8/9 (OLI)",2015,4,28
2015-05-03,0.181383699720535,"Landsat8/9 (OLI)",2015,5,3
2015-05-08,0.189042256085856,"Landsat8/9 (OLI)",2015,5,8
2015-05-13,0.197643589015115,"Landsat8/9 (OLI)",2015,5,13
2015-05-18,0.207263853619763,"Landsat8/9 (OLI)",2015,5,18
2015-05-23,0.217979205011252,"Landsat8/9 (OLI)",2015,5,23
2015-05-28,0.229865798301034,"Landsat8/9 (OLI)",2015,5,28
2015-06-02,0.24299978860056,"Landsat8/9 (OLI)",2015,6,2
2015-06-07,0.257457331021281,"Landsat8/9 (OLI)",2015,6,7
2015-06-12,0.27331458067465,"Landsat8/9 (OLI)",2015,6,12
2015-06-17,0.291233975458453,"Landsat8/9 (OLI)",2015,6,17
2015-06-22,0.315555811161327,"Landsat8/9 (OLI)",2015,6,22
2015-06-27,0.34434036919265,"Landsat8/9 (OLI)",2015,6,27
2015-07-02,0.374115921715656,"Landsat8/9 (OLI)",2015,7,2
2015-07-07,0.401410740893576,"Landsat8/9 (OLI)",2015,7,7
2015-07-12,0.422753098889643,"Landsat8/9 (OLI)",2015,7,12
2015-07-17,0.434671267867088,"Landsat8/9 (OLI)",2015,7,17
2015-07-22,0.429884477571249,"Landsat8/9 (OLI)",2015,7,22
2015-07-27,0.413146548453369,"Landsat8/9 (OLI)",2015,7,27
2015-08-01,0.399037638735535,"Landsat8/9 (OLI)",2015,8,1
2015-08-06,0.396282178495312,"Landsat8/9 (OLI)",2015,8,6
2015-08-11,0.39851805106855,"Landsat8/9 (OLI)",2015,8,11
