"date","median_ndvi","landsat","year","month","day"
2015-02-07,0.229217365384102,"Landsat8/9 (OLI)",2015,2,7
2015-02-12,0.222773581970614,"Landsat8/9 (OLI)",2015,2,12
2015-02-17,0.216216088345391,"Landsat8/9 (OLI)",2015,2,17
2015-02-22,0.211250537684464,"Landsat8/9 (OLI)",2015,2,22
2015-02-27,0.209357213461772,"Landsat8/9 (OLI)",2015,2,27
2015-03-04,0.209796192484646,"Landsat8/9 (OLI)",2015,3,4
2015-03-09,0.210615437972592,"Landsat8/9 (OLI)",2015,3,9
2015-03-14,0.210269094399337,"Landsat8/9 (OLI)",2015,3,14
2015-03-19,0.209428985603154,"Landsat8/9 (OLI)",2015,3,19
2015-03-24,0.208420577358993,"Landsat8/9 (OLI)",2015,3,24
2015-03-29,0.207425271454667,"Landsat8/9 (OLI)",2015,3,29
2015-04-03,0.206423448011833,"Landsat8/9 (OLI)",2015,4,3
2015-04-08,0.205390044087835,"Landsat8/9 (OLI)",2015,4,8
2015-04-13,0.20432535325051,"Landsat8/9 (OLI)",2015,4,13
2015-04-18,0.203229669067696,"Landsat8/9 (OLI)",2015,4,18
2015-04-23,0.202103285107228,"Landsat8/9 (OLI)",2015,4,23
2015-04-28,0.200946494936943,"Landsat8/9 (OLI)",2015,4,28
2015-05-03,0.197983488673344,"Landsat8/9 (OLI)",2015,5,3
2015-05-08,0.19275362470944,"Landsat8/9 (OLI)",2015,5,8
2015-05-13,0.187229949027824,"Landsat8/9 (OLI)",2015,5,13
2015-05-18,0.183385507611093,"Landsat8/9 (OLI)",2015,5,18
2015-05-23,0.18319334644184,"Landsat8/9 (OLI)",2015,5,23
2015-05-28,0.188626511502662,"Landsat8/9 (OLI)",2015,5,28
2015-06-02,0.203224744590898,"Landsat8/9 (OLI)",2015,6,2
2015-06-07,0.230065737152472,"Landsat8/9 (OLI)",2015,6,7
2015-06-12,0.259645603704939,"Landsat8/9 (OLI)",2015,6,12
2015-06-17,0.28266522998584,"Landsat8/9 (OLI)",2015,6,17
2015-06-22,0.303231017233327,"Landsat8/9 (OLI)",2015,6,22
2015-06-27,0.322853140796566,"Landsat8/9 (OLI)",2015,6,27
2015-07-02,0.340855389537789,"Landsat8/9 (OLI)",2015,7,2
2015-07-07,0.356561552319225,"Landsat8/9 (OLI)",2015,7,7
2015-07-12,0.369295418003105,"Landsat8/9 (OLI)",2015,7,12
2015-07-17,0.37838077545166,"Landsat8/9 (OLI)",2015,7,17
2015-07-22,0.382598123994492,"Landsat8/9 (OLI)",2015,7,22
2015-07-27,0.384474369412651,"Landsat8/9 (OLI)",2015,7,27
2015-08-01,0.388952910245538,"Landsat8/9 (OLI)",2015,8,1
2015-08-06,0.405476971443304,"Landsat8/9 (OLI)",2015,8,6
2015-08-11,0.434913614044038,"Landsat8/9 (OLI)",2015,8,11
2015-08-16,0.457916769669297,"Landsat8/9 (OLI)",2015,8,16
2015-08-21,0.456627795791064,"Landsat8/9 (OLI)",2015,8,21
2015-08-26,0.434702101163566,"Landsat8/9 (OLI)",2015,8,26
2015-08-31,0.408562798345883,"Landsat8/9 (OLI)",2015,8,31
2015-09-05,0.393622546529513,"Landsat8/9 (OLI)",2015,9,5
2015-09-10,0.388610794301712,"Landsat8/9 (OLI)",2015,9,10
2015-09-15,0.386116265202873,"Landsat8/9 (OLI)",2015,9,15
2015-09-20,0.379968240589733,"Landsat8/9 (OLI)",2015,9,20
2015-09-25,0.368973498101696,"Landsat8/9 (OLI)",2015,9,25
2015-09-30,0.356260741404185,"Landsat8/9 (OLI)",2015,9,30
2015-10-05,0.344492137432098,"Landsat8/9 (OLI)",2015,10,5
2015-10-10,0.334305968566696,"Landsat8/9 (OLI)",2015,10,10
2015-10-15,0.324857316867565,"Landsat8/9 (OLI)",2015,10,15
2015-10-20,0.316583548787094,"Landsat8/9 (OLI)",2015,10,20
2015-10-25,0.310170700307936,"Landsat8/9 (OLI)",2015,10,25
2015-10-30,0.305414673806809,"Landsat8/9 (OLI)",2015,10,30
2015-11-04,0.300644952862058,"Landsat8/9 (OLI)",2015,11,4
2015-11-09,0.294359791554598,"Landsat8/9 (OLI)",2015,11,9
2015-11-14,0.286917878314853,"Landsat8/9 (OLI)",2015,11,14
2015-11-19,0.279542020583904,"Landsat8/9 (OLI)",2015,11,19
2015-11-24,0.273448949854356,"Landsat8/9 (OLI)",2015,11,24
2015-11-29,0.268967734307807,"Landsat8/9 (OLI)",2015,11,29
2015-12-04,0.264659448992461,"Landsat8/9 (OLI)",2015,12,4
2015-12-09,0.258950264606937,"Landsat8/9 (OLI)",2015,12,9
2015-12-14,0.25199736320792,"Landsat8/9 (OLI)",2015,12,14
2015-12-19,0.243974106507267,"Landsat8/9 (OLI)",2015,12,19
2015-12-24,0.23445999622345,"Landsat8/9 (OLI)",2015,12,24
2015-12-29,0.220591183652687,"Landsat8/9 (OLI)",2015,12,29
2016-01-03,0.204761787223106,"Landsat8/9 (OLI)",2016,1,3
2016-01-08,0.194438259351046,"Landsat8/9 (OLI)",2016,1,8
2016-01-13,0.196678320819047,"Landsat8/9 (OLI)",2016,1,13
2016-01-18,0.208215891859254,"Landsat8/9 (OLI)",2016,1,18
2016-01-23,0.218300040207395,"Landsat8/9 (OLI)",2016,1,23
2016-01-28,0.217730102513087,"Landsat8/9 (OLI)",2016,1,28
2016-02-02,0.209317365661263,"Landsat8/9 (OLI)",2016,2,2
2016-02-07,0.198660710384502,"Landsat8/9 (OLI)",2016,2,7
2016-02-12,0.19061296615837,"Landsat8/9 (OLI)",2016,2,12
2016-02-17,0.184348419989874,"Landsat8/9 (OLI)",2016,2,17
2016-02-22,0.178380045632366,"Landsat8/9 (OLI)",2016,2,22
2016-02-27,0.171780737621703,"Landsat8/9 (OLI)",2016,2,27
2016-03-03,0.162633840816852,"Landsat8/9 (OLI)",2016,3,3
2016-03-08,0.153760788773979,"Landsat8/9 (OLI)",2016,3,8
2016-03-13,0.149700596928596,"Landsat8/9 (OLI)",2016,3,13
2016-03-18,0.154330092312193,"Landsat8/9 (OLI)",2016,3,18
2016-03-23,0.163927141846215,"Landsat8/9 (OLI)",2016,3,23
2016-03-28,0.171632320801109,"Landsat8/9 (OLI)",2016,3,28
2016-04-02,0.172651272849179,"Landsat8/9 (OLI)",2016,4,2
2016-04-07,0.169905344790095,"Landsat8/9 (OLI)",2016,4,7
2016-04-12,0.166821136997896,"Landsat8/9 (OLI)",2016,4,12
2016-04-17,0.166066594512813,"Landsat8/9 (OLI)",2016,4,17
2016-04-22,0.166512409225106,"Landsat8/9 (OLI)",2016,4,22
2016-04-27,0.167503814529482,"Landsat8/9 (OLI)",2016,4,27
