date,year,month,day,median_ndvi,landsat
"07-02-2015",2015,2,7,nan,Landsat8/9 (OLI)
23-02-2015,2015,2,23,0.0378061272203922,Landsat8/9 (OLI)
11-03-2015,2015,3,11,0.0229675192385912,Landsat8/9 (OLI)
27-03-2015,2015,3,27,0.0181586472317576,Landsat8/9 (OLI)
28-04-2015,2015,4,28,0.0218120031058788,Landsat8/9 (OLI)
30-05-2015,2015,5,30,0.0331968106329441,Landsat8/9 (OLI)
15-06-2015,2015,6,15,0.0246620383113623,Landsat8/9 (OLI)
17-07-2015,2015,7,17,nan,Landsat8/9 (OLI)
"02-08-2015",2015,8,2,nan,Landsat8/9 (OLI)
18-08-2015,2015,8,18,nan,Landsat8/9 (OLI)
"03-09-2015",2015,9,3,nan,Landsat8/9 (OLI)
19-09-2015,2015,9,19,nan,Landsat8/9 (OLI)
"05-10-2015",2015,10,5,0.00134895191877149,Landsat8/9 (OLI)
21-10-2015,2015,10,21,0.000601805397309363,Landsat8/9 (OLI)
"06-11-2015",2015,11,6,nan,Landsat8/9 (OLI)
22-11-2015,2015,11,22,0.0121157229878008,Landsat8/9 (OLI)
"08-12-2015",2015,12,8,0.025330888107419,Landsat8/9 (OLI)
24-12-2015,2015,12,24,0.0174260754138231,Landsat8/9 (OLI)
"09-01-2016",2016,1,9,nan,Landsat8/9 (OLI)
25-01-2016,2016,1,25,0.0356474444270134,Landsat8/9 (OLI)
10-02-2016,2016,2,10,0.0285401316359639,Landsat8/9 (OLI)
26-02-2016,2016,2,26,0.00814544782042503,Landsat8/9 (OLI)
13-03-2016,2016,3,13,nan,Landsat8/9 (OLI)
29-03-2016,2016,3,29,0.0180928148329258,Landsat8/9 (OLI)
14-04-2016,2016,4,14,0.02780432254076,Landsat8/9 (OLI)
30-04-2016,2016,4,30,0.02730015758425,Landsat8/9 (OLI)
16-05-2016,2016,5,16,0.0384524371474981,Landsat8/9 (OLI)
"01-06-2016",2016,6,1,0.0415197648108006,Landsat8/9 (OLI)
17-06-2016,2016,6,17,nan,Landsat8/9 (OLI)
