date,year,month,day,median_ndvi,landsat
"07-02-2015",2015,2,7,0.274343758821487,Landsat8/9 (OLI)
23-02-2015,2015,2,23,0.232743330299854,Landsat8/9 (OLI)
11-03-2015,2015,3,11,0.244836039841175,Landsat8/9 (OLI)
27-03-2015,2015,3,27,0.242233484983444,Landsat8/9 (OLI)
28-04-2015,2015,4,28,0.238260254263878,Landsat8/9 (OLI)
30-05-2015,2015,5,30,0.226914703845978,Landsat8/9 (OLI)
15-06-2015,2015,6,15,0.317820250988007,Landsat8/9 (OLI)
17-07-2015,2015,7,17,nan,Landsat8/9 (OLI)
"02-08-2015",2015,8,2,0.41280722618103,Landsat8/9 (OLI)
18-08-2015,2015,8,18,nan,Landsat8/9 (OLI)
"03-09-2015",2015,9,3,0.412719368934631,Landsat8/9 (OLI)
19-09-2015,2015,9,19,0.398701533675194,Landsat8/9 (OLI)
"05-10-2015",2015,10,5,0.355684503912926,Landsat8/9 (OLI)
21-10-2015,2015,10,21,0.328327029943466,Landsat8/9 (OLI)
"06-11-2015",2015,11,6,0.315487742424011,Landsat8/9 (OLI)
22-11-2015,2015,11,22,0.295158356428146,Landsat8/9 (OLI)
"08-12-2015",2015,12,8,0.28164130449295,Landsat8/9 (OLI)
24-12-2015,2015,12,24,0.257947534322739,Landsat8/9 (OLI)
"09-01-2016",2016,1,9,0.264773488044739,Landsat8/9 (OLI)
25-01-2016,2016,1,25,0.247319683432579,Landsat8/9 (OLI)
10-02-2016,2016,2,10,0.223415121436119,Landsat8/9 (OLI)
26-02-2016,2016,2,26,0.216206654906273,Landsat8/9 (OLI)
13-03-2016,2016,3,13,nan,Landsat8/9 (OLI)
29-03-2016,2016,3,29,0.22013346105814,Landsat8/9 (OLI)
14-04-2016,2016,4,14,0.217983566224575,Landsat8/9 (OLI)
30-04-2016,2016,4,30,0.203152164816856,Landsat8/9 (OLI)
16-05-2016,2016,5,16,0.226076409220695,Landsat8/9 (OLI)
"01-06-2016",2016,6,1,0.238463364541531,Landsat8/9 (OLI)
17-06-2016,2016,6,17,0.278319954872131,Landsat8/9 (OLI)
