date,year,month,day,median_ndvi,landsat
"07-02-2015",2015,2,7,0.218084059655666,Landsat8/9 (OLI)
23-02-2015,2015,2,23,0.195039667189121,Landsat8/9 (OLI)
11-03-2015,2015,3,11,0.182469099760056,Landsat8/9 (OLI)
27-03-2015,2015,3,27,0.165503583848476,Landsat8/9 (OLI)
28-04-2015,2015,4,28,0.174591764807701,Landsat8/9 (OLI)
30-05-2015,2015,5,30,0.168434798717499,Landsat8/9 (OLI)
15-06-2015,2015,6,15,0.283532470464706,Landsat8/9 (OLI)
17-07-2015,2015,7,17,0.434671267867088,Landsat8/9 (OLI)
"02-08-2015",2015,8,2,0.397814393043518,Landsat8/9 (OLI)
18-08-2015,2015,8,18,nan,Landsat8/9 (OLI)
"03-09-2015",2015,9,3,0.417756512761116,Landsat8/9 (OLI)
19-09-2015,2015,9,19,0.394330531358719,Landsat8/9 (OLI)
"05-10-2015",2015,10,5,0.356117814779282,Landsat8/9 (OLI)
21-10-2015,2015,10,21,0.327419430017471,Landsat8/9 (OLI)
"06-11-2015",2015,11,6,0.303507477045059,Landsat8/9 (OLI)
22-11-2015,2015,11,22,0.276347368955612,Landsat8/9 (OLI)
"08-12-2015",2015,12,8,0.252396732568741,Landsat8/9 (OLI)
24-12-2015,2015,12,24,0.219522878527641,Landsat8/9 (OLI)
"09-01-2016",2016,1,9,0.188471302390099,Landsat8/9 (OLI)
25-01-2016,2016,1,25,0.196344807744026,Landsat8/9 (OLI)
10-02-2016,2016,2,10,0.168436259031296,Landsat8/9 (OLI)
26-02-2016,2016,2,26,nan,Landsat8/9 (OLI)
13-03-2016,2016,3,13,0.150373950600624,Landsat8/9 (OLI)
29-03-2016,2016,3,29,0.122314475476742,Landsat8/9 (OLI)
14-04-2016,2016,4,14,0.122605070471764,Landsat8/9 (OLI)
30-04-2016,2016,4,30,0.131849721074104,Landsat8/9 (OLI)
16-05-2016,2016,5,16,0.136753678321838,Landsat8/9 (OLI)
"01-06-2016",2016,6,1,0.142289102077484,Landsat8/9 (OLI)
17-06-2016,2016,6,17,0.161265075206757,Landsat8/9 (OLI)
