"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2015-02-07,0.229217365384102,"Landsat8/9 (OLI)",2015,2,7,0.229217365384102,0.228540449326399
2015-02-12,0.222773581970614,"Landsat8/9 (OLI)",2015,2,12,0.222773581970614,0.222189574699874
2015-02-17,0.216216088345391,"Landsat8/9 (OLI)",2015,2,17,0.216216088345391,0.217037413643865
2015-02-22,0.211250537684464,"Landsat8/9 (OLI)",2015,2,22,0.211250537684464,0.213083966158373
2015-02-27,0.209357213461772,"Landsat8/9 (OLI)",2015,2,27,0.209357213461772,0.210329232243397
2015-03-04,0.209796192484646,"Landsat8/9 (OLI)",2015,3,4,0.209796192484646,0.20952258820206
2015-03-09,0.210615437972592,"Landsat8/9 (OLI)",2015,3,9,0.210615437972592,0.209626055515259
2015-03-14,0.210269094399337,"Landsat8/9 (OLI)",2015,3,14,0.210269094399337,0.209885116267175
2015-03-19,0.209428985603154,"Landsat8/9 (OLI)",2015,3,19,0.209428985603154,0.209611115518167
2015-03-24,0.208420577358993,"Landsat8/9 (OLI)",2015,3,24,0.208420577358993,0.208581799994317
2015-03-29,0.207320810808596,"Landsat8/9 (OLI)",2015,3,29,0.207320810808596,0.206949396036947
2015-04-03,0.205357078916525,"Landsat8/9 (OLI)",2015,4,3,0.205357078916525,0.204943899176466
2015-04-08,0.202882988582132,"Landsat8/9 (OLI)",2015,4,8,0.202882988582132,0.202689828010355
2015-04-13,0.200551712411198,"Landsat8/9 (OLI)",2015,4,13,0.200551712411198,0.20061791662841
2015-04-18,0.199016423009501,"Landsat8/9 (OLI)",2015,4,18,0.199016423009501,0.199367669513589
2015-04-23,0.198930292982823,"Landsat8/9 (OLI)",2015,4,23,0.198930292982823,0.199501058656739
2015-04-28,0.200946494936943,"Landsat8/9 (OLI)",2015,4,28,0.200946494936943,0.201230697031584
2015-05-03,0.204690389381876,"Landsat8/9 (OLI)",2015,5,3,0.204690389381876,0.204513717279196
2015-05-08,0.209349665601891,"Landsat8/9 (OLI)",2015,5,8,0.209349665601891,0.209144309506385
2015-05-13,0.214920989364145,"Landsat8/9 (OLI)",2015,5,13,0.214920989364145,0.214847446047519
2015-05-18,0.2214010264358,"Landsat8/9 (OLI)",2015,5,18,0.2214010264358,0.2214010264358
2015-05-23,0.228786442584014,"Landsat8/9 (OLI)",2015,5,23,0.228786442584014,0.228786442584014
2015-05-28,0.237073903575947,"Landsat8/9 (OLI)",2015,5,28,0.237073903575947,0.23704173091416
2015-06-02,0.246260075178758,"Landsat8/9 (OLI)",2015,6,2,0.246260075178758,0.245946167976131
2015-06-07,0.256341623159608,"Landsat8/9 (OLI)",2015,6,7,0.256341623159608,0.255812088735642
2015-06-12,0.267315213285655,"Landsat8/9 (OLI)",2015,6,12,0.267315213285655,0.267277856977772
2015-06-17,0.279531410603712,"Landsat8/9 (OLI)",2015,6,17,0.279531410603712,0.280925064767872
2015-06-22,0.295614095123987,"Landsat8/9 (OLI)",2015,6,22,0.295614095123987,0.296981387106464
2015-06-27,0.314496289110891,"Landsat8/9 (OLI)",2015,6,27,0.314496289110891,0.315109091778105
2015-07-02,0.334196023350766,"Landsat8/9 (OLI)",2015,7,2,0.334196023350766,0.334182191173533
2015-07-07,0.352731328629957,"Landsat8/9 (OLI)",2015,7,7,0.352731328629957,0.351988231969883
2015-07-12,0.368120235734807,"Landsat8/9 (OLI)",2015,7,12,0.368120235734807,0.366077062258855
2015-07-17,0.37838077545166,"Landsat8/9 (OLI)",2015,7,17,0.37838077545166,0.374973705625117
2015-07-22,0.382598123994492,"Landsat8/9 (OLI)",2015,7,22,0.382598123994492,0.379900145659377
2015-07-27,0.384474369412651,"Landsat8/9 (OLI)",2015,7,27,0.384474369412651,0.38587471690836
2015-08-01,0.388952910245538,"Landsat8/9 (OLI)",2015,8,1,0.388952910245538,0.397735969107624
2015-08-06,0.405476971443304,"Landsat8/9 (OLI)",2015,8,6,0.405476971443304,0.415322989260026
2015-08-11,0.434913614044038,"Landsat8/9 (OLI)",2015,8,11,0.434913614044038,0.433397852826949
2015-08-16,0.457916769669297,"Landsat8/9 (OLI)",2015,8,16,0.457916769669297,0.444815991596305
2015-08-21,0.456627795791064,"Landsat8/9 (OLI)",2015,8,21,0.456627795791064,0.445439803099487
2015-08-26,0.434702101163566,"Landsat8/9 (OLI)",2015,8,26,0.434702101163566,0.434994082818484
2015-08-31,0.408562798345883,"Landsat8/9 (OLI)",2015,8,31,0.408562798345883,0.417761838235294
2015-09-05,0.393622546529513,"Landsat8/9 (OLI)",2015,9,5,0.393622546529513,0.40099856892919
2015-09-10,0.388610794301712,"Landsat8/9 (OLI)",2015,9,10,0.388610794301712,0.389469447292001
2015-09-15,0.386116265202873,"Landsat8/9 (OLI)",2015,9,15,0.386116265202873,0.382553349860245
2015-09-20,0.379968240589733,"Landsat8/9 (OLI)",2015,9,20,0.379968240589733,0.376520886476491
2015-09-25,0.368973498101696,"Landsat8/9 (OLI)",2015,9,25,0.368973498101696,0.368191717174262
2015-09-30,0.356260741404185,"Landsat8/9 (OLI)",2015,9,30,0.356260741404185,0.357349658713826
2015-10-05,0.344492137432098,"Landsat8/9 (OLI)",2015,10,5,0.344492137432098,0.345475060633208
2015-10-10,0.334305968566696,"Landsat8/9 (OLI)",2015,10,10,0.334305968566696,0.334306612859239
2015-10-15,0.324857316867565,"Landsat8/9 (OLI)",2015,10,15,0.324857316867565,0.324882833969123
2015-10-20,0.316583548787094,"Landsat8/9 (OLI)",2015,10,20,0.316583548787094,0.317263789742277
2015-10-25,0.310170700307936,"Landsat8/9 (OLI)",2015,10,25,0.310170700307936,0.310927593803924
2015-10-30,0.305414673806809,"Landsat8/9 (OLI)",2015,10,30,0.305414673806809,0.30521362017099
2015-11-04,0.300644952862058,"Landsat8/9 (OLI)",2015,11,4,0.300644952862058,0.299539628938094
2015-11-09,0.294359791554598,"Landsat8/9 (OLI)",2015,11,9,0.294359791554598,0.293433029540223
2015-11-14,0.286917878314853,"Landsat8/9 (OLI)",2015,11,14,0.286917878314853,0.286919634027237
2015-11-19,0.279542020583904,"Landsat8/9 (OLI)",2015,11,19,0.279542020583904,0.280460776301923
2015-11-24,0.273448949854356,"Landsat8/9 (OLI)",2015,11,24,0.273448949854356,0.274611465390163
2015-11-29,0.268967734307807,"Landsat8/9 (OLI)",2015,11,29,0.268967734307807,0.269249866587203
2015-12-04,0.264659448992461,"Landsat8/9 (OLI)",2015,12,4,0.264659448992461,0.263638174092051
2015-12-09,0.25888931402369,"Landsat8/9 (OLI)",2015,12,9,0.25888931402369,0.257161443546365
2015-12-14,0.250534549209988,"Landsat8/9 (OLI)",2015,12,14,0.250534549209988,0.249886694623692
2015-12-19,0.241515766316297,"Landsat8/9 (OLI)",2015,12,19,0.241515766316297,0.242452348843027
2015-12-24,0.23445999622345,"Landsat8/9 (OLI)",2015,12,24,0.23445999622345,0.235898931122333
2015-12-29,0.230469109918431,"Landsat8/9 (OLI)",2015,12,29,0.230469109918431,0.231126163678574
2016-01-03,0.228330119967723,"Landsat8/9 (OLI)",2016,1,3,0.228330119967723,0.228429128101831
2016-01-08,0.227197769621398,"Landsat8/9 (OLI)",2016,1,8,0.227197769621398,0.227178853784897
2016-01-13,0.226226802129531,"Landsat8/9 (OLI)",2016,1,13,0.226226802129531,0.226200281126528
2016-01-18,0.224571960742196,"Landsat8/9 (OLI)",2016,1,18,0.224571960742196,0.224194728872018
2016-01-23,0.221387988709466,"Landsat8/9 (OLI)",2016,1,23,0.221387988709466,0.220335926321504
2016-01-28,0.215669972799332,"Landsat8/9 (OLI)",2016,1,28,0.215669972799332,0.214506896956061
2016-02-02,0.207236919086426,"Landsat8/9 (OLI)",2016,2,2,0.207236919086426,0.207235244586395
2016-02-07,0.198185295835174,"Landsat8/9 (OLI)",2016,2,7,0.198185295835174,0.199354499529944
2016-02-12,0.19061296615837,"Landsat8/9 (OLI)",2016,2,12,0.19061296615837,0.191783111721953
2016-02-17,0.184348419989874,"Landsat8/9 (OLI)",2016,2,17,0.184348419989874,0.184636360894056
2016-02-22,0.178380045632366,"Landsat8/9 (OLI)",2016,2,22,0.178380045632366,0.177331515253598
2016-02-27,0.171780737621703,"Landsat8/9 (OLI)",2016,2,27,0.171780737621703,0.169253849618404
2016-03-03,0.162633840816852,"Landsat8/9 (OLI)",2016,3,3,0.162633840816852,0.161324419902906
2016-03-08,0.153760788773979,"Landsat8/9 (OLI)",2016,3,8,0.153760788773979,0.155727158491041
2016-03-13,0.149700596928596,"Landsat8/9 (OLI)",2016,3,13,0.149700596928596,0.154291109312151
2016-03-18,0.154330092312193,"Landsat8/9 (OLI)",2016,3,18,0.154330092312193,0.156927655733179
2016-03-23,0.163927141846215,"Landsat8/9 (OLI)",2016,3,23,0.163927141846215,0.162156562485565
2016-03-28,0.171632320801109,"Landsat8/9 (OLI)",2016,3,28,0.171632320801109,0.167366461444823
2016-04-02,0.172651272849179,"Landsat8/9 (OLI)",2016,4,2,0.172651272849179,0.170449014724109
2016-04-07,0.169905344790095,"Landsat8/9 (OLI)",2016,4,7,0.169905344790095,0.170536038281056
2016-04-12,0.166821136997896,"Landsat8/9 (OLI)",2016,4,12,0.166821136997896,0.168728768996398
2016-04-17,0.166066594512813,"Landsat8/9 (OLI)",2016,4,17,0.166066594512813,0.166927795062186
2016-04-22,0.166512409225106,"Landsat8/9 (OLI)",2016,4,22,0.166512409225106,0.166439497976005
2016-04-27,0.167503814529482,"Landsat8/9 (OLI)",2016,4,27,0.167503814529482,0.167154219591183
2016-05-02,0.168638365896185,"Landsat8/9 (OLI)",2016,5,2,0.168638365896185,0.16853514697892
2016-05-07,0.170016825333732,"Landsat8/9 (OLI)",2016,5,7,0.170016825333732,0.170045032480779
2016-05-12,0.171698307851329,"Landsat8/9 (OLI)",2016,5,12,0.171698307851329,0.171619232823163
2016-05-17,0.17365502616849,"Landsat8/9 (OLI)",2016,5,17,0.17365502616849,0.173307004794347
2016-05-22,0.175582665091497,"Landsat8/9 (OLI)",2016,5,22,0.175582665091497,0.175383681374418
2016-05-27,0.177899900803823,"Landsat8/9 (OLI)",2016,5,27,0.177899900803823,0.17819914607791
2016-06-01,0.181330904364586,"Landsat8/9 (OLI)",2016,6,1,0.181330904364586,0.182123956522585
2016-06-06,0.186459189202651,"Landsat8/9 (OLI)",2016,6,6,0.186459189202651,0.186871539364711
2016-06-11,0.19271955692966,"Landsat8/9 (OLI)",2016,6,11,0.19271955692966,0.192441894604285
2016-06-16,0.199113110878898,"Landsat8/9 (OLI)",2016,6,16,0.199113110878898,0.198835022241308
